,TD_SEQ_UPa,TD_SEQ_DNa
0,,
1,,
2,,
3,,
4,1.0,
5,2.0,
6,3.0,
7,4.0,
8,5.0,
9,,1.0
10,,2.0
11,1.0,
12,2.0,
13,3.0,
14,4.0,
15,5.0,
16,6.0,
17,7.0,
18,8.0,
19,9.0,
20,10.0,
21,,1.0
22,1.0,
23,,1.0
24,,2.0
25,,3.0
26,,4.0
27,,5.0
28,1.0,
29,,1.0
30,,2.0
31,1.0,
32,,1.0
33,1.0,
34,2.0,
35,3.0,
36,4.0,
37,5.0,
38,6.0,
39,,1.0
40,,2.0
41,,3.0
42,,4.0
43,,5.0
44,,6.0
45,,7.0
46,,8.0
47,,9.0
48,,10.0
49,,11.0
50,1.0,
51,2.0,
52,3.0,
53,,1.0
54,,2.0
55,,3.0
56,,4.0
57,,5.0
58,,6.0
59,,7.0
60,,8.0
61,,9.0
62,,10.0
63,,11.0
64,,12.0
65,,13.0
66,1.0,
67,2.0,
68,3.0,
69,4.0,
70,5.0,
71,6.0,
72,7.0,
73,8.0,
74,,1.0
75,,2.0
76,,3.0
77,,4.0
78,,5.0
79,1.0,
80,2.0,
81,3.0,
82,4.0,
83,,1.0
84,,2.0
85,,3.0
86,,4.0
87,,5.0
88,,6.0
89,,7.0
90,,8.0
91,,9.0
92,,10.0
93,,11.0
94,,12.0
95,,13.0
96,,13.0
97,,13.0
98,,13.0
99,1.0,
100,2.0,
101,3.0,
102,4.0,
103,,1.0
104,,2.0
105,,3.0
106,1.0,
107,2.0,
108,3.0,
109,4.0,
110,5.0,
111,6.0,
112,7.0,
113,8.0,
114,9.0,
115,,1.0
116,,2.0
117,,3.0
118,1.0,
119,2.0,
120,3.0,
121,4.0,
122,5.0,
123,6.0,
124,7.0,
125,8.0,
126,9.0,
127,10.0,
128,11.0,
129,12.0,
130,,1.0
131,,2.0
132,,3.0
133,1.0,
134,2.0,
135,3.0,
136,4.0,
137,5.0,
138,,1.0
139,,2.0
140,,3.0
141,,4.0
142,,5.0
143,,6.0
144,1.0,
145,2.0,
146,3.0,
147,4.0,
148,5.0,
149,6.0,
150,,1.0
151,,2.0
152,,3.0
153,,4.0
154,,5.0
155,,6.0
156,,7.0
157,,8.0
158,,9.0
159,,10.0
160,1.0,
161,2.0,
162,3.0,
163,4.0,
164,5.0,
165,6.0,
166,7.0,
167,8.0,
168,9.0,
169,10.0,
170,11.0,
171,12.0,
172,13.0,
173,,1.0
174,,2.0
175,,3.0
176,1.0,
177,2.0,
178,3.0,
179,4.0,
180,5.0,
181,6.0,
182,7.0,
183,8.0,
184,9.0,
185,10.0,
186,11.0,
187,12.0,
188,13.0,
189,13.0,
190,13.0,
191,,1.0
192,1.0,
193,2.0,
194,3.0,
195,4.0,
196,5.0,
197,6.0,
198,,1.0
199,,2.0
200,1.0,
201,2.0,
202,3.0,
203,4.0,
